ID,지역코드,기간코드,인허가일자,지번주소
96,111123,17,20010827,서울특별시 종로구 청진동 295-0번지 지하
97,111123,17,20010822,서울특별시 종로구 청진동 256-1번지
98,111123,17,20010821,서울특별시 종로구 창신동 378-0번지
99,111123,17,20010706,서울특별시 종로구 낙원동 132-2번지 (지하1층)
100,111123,17,20020906,서울특별시 종로구 종로5가 49-1번지
101,111123,17,20020723,서울특별시 종로구 연지동 273번지
102,111123,17,20020705,서울특별시 종로구 종로1가 28번지
103,111123,17,20020702,서울특별시 종로구 신문로1가 2번지
104,111123,17,20020612,서울특별시 종로구 청진동 73번지
105,111123,17,20030704,서울특별시 종로구 원남동 189-12번지 외5필지 지하1층
106,111123,17,20030701,서울특별시 종로구 청진동 82번지 지상1층
107,111123,17,20001127,서울특별시 종로구 창신동 328-18번지
108,111123,17,20001117,서울특별시 종로구 효제동 145번지 지상1층
109,111123,17,20001116,서울특별시 종로구 당주동 19-0번지
110,111123,17,20001018,서울특별시 종로구 숭인동 201-13번지
111,111123,17,20000830,서울특별시 종로구 효제동 236-0번지
112,111123,17,20000822,서울특별시 종로구 창신동 464-8번지 지상2층
113,111123,17,20000814,서울특별시 종로구 창신동 402-9번지
114,111123,17,20030613,서울특별시 종로구 청진동 125-1번지 지상2층
115,111123,17,20000804,서울특별시 종로구 숭인동 201-6번지
116,111123,17,20000715,서울특별시 종로구 도렴동 113-1번지
117,111123,17,20000713,서울특별시 종로구 숭인동 280-0번지
118,111123,17,20040420,서울특별시 종로구 인의동 28-26번지
119,111123,17,20040413,서울특별시 종로구 종로5가 182-6번지 지상2층
120,111123,17,20040220,서울특별시 종로구 평창동 66-50번지 외 2필지(지하1층)
121,111123,17,20031106,서울특별시 종로구 관철동 42-3번지
122,111123,17,20010122,서울특별시 종로구 효제동 318-1번지
123,111123,17,20001206,서울특별시 종로구 종로5가 471-0번지
124,111123,17,19740429,서울특별시 종로구 관훈동 2-2번지
125,111123,17,19740420,서울특별시 종로구 견지동 110-13번지
126,111123,17,20000529,서울특별시 종로구 당주동 23-6번지
127,111123,17,20000522,서울특별시 종로구 낙원동 161-0번지
128,111123,17,20000516,서울특별시 종로구 숭인동 201-26번지
129,111123,17,20000515,서울특별시 종로구 장사동 227-1번지
130,111123,17,20000513,서울특별시 종로구 숭인동 1421-0번지
131,111123,17,20000510,서울특별시 종로구 관철동 7-11번지
132,111123,17,20000421,서울특별시 종로구 종로5가 193-5번지
133,111123,17,20000331,서울특별시 종로구 종로5가 38-1번지
134,111123,17,20000328,서울특별시 종로구 청진동 88-0번지
135,111123,17,20000315,서울특별시 종로구 당주동 23-15번지 지상2층
136,111123,17,20000711,서울특별시 종로구 숭인동 1385-0번지
137,111123,17,19850305,서울특별시 종로구 연지동 1-24번지
138,111123,17,20000609,서울특별시 종로구 공평동 59번지 지하1층
139,111123,17,19760325,서울특별시 종로구 운니동 24-1번지
140,111123,17,19751001,서울특별시 종로구 교북동 11-2번지
141,111123,17,19740430,서울특별시 종로구 창신동 460-1번지
142,111123,17,20030716,서울특별시 종로구 공평동 64번지 지하1층
143,111123,17,19740430,서울특별시 종로구 인사동 262번지 (지상1층)
144,111123,17,19991130,서울특별시 종로구 종로2가 84-3번지
145,111123,17,19991120,서울특별시 종로구 관철동 12-15번지
146,111123,17,19991113,서울특별시 종로구 창신동 197-36번지
147,111123,17,19991108,서울특별시 종로구 종로5가 314-7번지
148,111123,17,20110502,서울특별시 종로구 종로5가 42-1번지 지상2층
149,111123,17,19991105,서울특별시 종로구 종로5가 54번지 지상1층
150,111123,17,19991104,서울특별시 종로구 당주동 100-0번지 세종빌딩지1층134호
151,111123,17,20000626,서울특별시 종로구 낙원동 197-2번지 지하1층
152,111123,17,19991104,서울특별시 종로구 관수동 18-1번지  동  호
153,111123,17,19991103,서울특별시 종로구 낙원동 141번지 (지하1층)
154,111123,17,19991028,서울특별시 종로구 원남동 177-1번지
155,111123,17,19991022,서울특별시 종로구 익선동 34-6번지
156,111123,17,20030627,서울특별시 종로구 교북동 60-1번지 지1층
157,111123,17,20030428,서울특별시 종로구 돈의동 45-1번지 지1층
158,111123,17,20030421,서울특별시 종로구 종로6가 124-1번지 (지상2층)
159,111123,17,19990930,서울특별시 종로구 관철동 42-4번지
