0,17,111123,1435
1,17,111121,1142
2,17,111131,1334
3,17,111142,2413
4,17,111141,1204
5,17,111152,1805
6,17,111151,1131
7,17,111161,1938
8,17,111291,443
9,17,111171,710
10,17,111311,1389
11,17,111181,1680
12,17,111191,1962
13,17,111201,1264
14,17,111301,2573
15,17,111212,1365
16,17,111221,2738
17,17,111281,948
18,17,111231,1837
19,17,111241,1245
20,17,111251,3274
21,17,111262,2495
22,17,111261,4022
23,17,111273,908
24,17,111274,1200
25,18,111123,1520
26,18,111121,1528
27,18,111131,1459
28,18,111142,2803
29,18,111141,1669
30,18,111152,2002
31,18,111151,1304
32,18,111161,2805
33,18,111291,835
34,18,111171,932
35,18,111311,1605
36,18,111181,2315
37,18,111191,2199
38,18,111201,1607
39,18,111301,2713
40,18,111212,1624
41,18,111221,3226
42,18,111281,1488
43,18,111231,2495
44,18,111241,1545
45,18,111251,3937
46,18,111262,2923
47,18,111261,4770
48,18,111273,1450
49,18,111274,1577
50,19,111123,1529
51,19,111121,1683
52,19,111131,1766
53,19,111142,3065
54,19,111141,2381
55,19,111152,2211
56,19,111151,2353
57,19,111161,3519
58,19,111291,1835
59,19,111171,1130
60,19,111311,1925
61,19,111181,3372
62,19,111191,2542
63,19,111201,2101
64,19,111301,2987
65,19,111212,2081
66,19,111221,3660
67,19,111281,1857
68,19,111231,2560
69,19,111241,1867
70,19,111251,4577
71,19,111262,3281
72,19,111261,5559
73,19,111273,2518
74,19,111274,1933
