0,17,111123,12450 ,2674 ,2971 ,2755 ,3734 ,316 ,11970 ,8656 ,1416 ,957 ,547 ,394 
1,17,111121,5234 ,1737 ,1047 ,878 ,1269 ,303 ,6818 ,3960 ,1861 ,257 ,353 ,387 
2,17,111131,12267 ,4669 ,2251 ,1395 ,3749 ,203 ,21108 ,9074 ,8690 ,785 ,2129 ,430 
3,17,111142,19731 ,5401 ,10368 ,435 ,3075 ,452 ,11376 ,4984 ,4081 ,1301 ,538 ,472 
4,17,111141,28752 ,8846 ,13490 ,1646 ,4047 ,723 ,9688 ,4873 ,2051 ,1569 ,726 ,469 
5,17,111152,16643 ,7417 ,5071 ,581 ,3005 ,569 ,17365 ,10899 ,2813 ,1620 ,1290 ,743 
6,17,111151,41238 ,11153 ,24451 ,1823 ,3054 ,757 ,10569 ,6381 ,401 ,2182 ,1123 ,482 
7,17,111161,21778 ,8460 ,2608 ,3250 ,6921 ,539 ,19329 ,14857 ,1508 ,1573 ,848 ,543 
8,17,111291,33132 ,7925 ,9859 ,1834 ,13039 ,475 ,12113 ,8867 ,30 ,1382 ,1415 ,419 
9,17,111171,56937 ,4489 ,41219 ,1979 ,8873 ,377 ,9797 ,3636 ,3928 ,995 ,1017 ,221 
10,17,111311,112435 ,2410 ,103281 ,1809 ,4592 ,343 ,12837 ,3550 ,7918 ,535 ,667 ,167 
11,17,111181,35440 ,7360 ,6851 ,3593 ,17015 ,621 ,14091 ,7500 ,222 ,1468 ,4445 ,456 
12,17,111191,23980 ,4997 ,9781 ,2080 ,6768 ,354 ,15853 ,7688 ,3295 ,1694 ,2744 ,432 
13,17,111201,25380 ,5513 ,8683 ,1410 ,9065 ,709 ,15107 ,5373 ,4346 ,1464 ,3527 ,397 
14,17,111301,38747 ,4918 ,20270 ,1489 ,11671 ,399 ,28703 ,2653 ,21103 ,1960 ,2692 ,295 
15,17,111212,64103 ,5573 ,46692 ,1684 ,9593 ,561 ,9020 ,3705 ,1082 ,2260 ,1610 ,363 
16,17,111221,31154 ,6293 ,15179 ,3293 ,6082 ,307 ,15157 ,5060 ,5102 ,2933 ,1687 ,375 
17,17,111281,13422 ,4484 ,4947 ,1549 ,2295 ,147 ,10062 ,4289 ,2891 ,1710 ,917 ,255 
18,17,111231,23686 ,7792 ,13563 ,316 ,1642 ,373 ,25006 ,6320 ,16607 ,733 ,744 ,602 
19,17,111241,37606 ,6956 ,20536 ,2699 ,7052 ,363 ,10825 ,6783 ,605 ,1099 ,1927 ,411 
20,17,111251,37400 ,9900 ,10298 ,3659 ,12960 ,583 ,15073 ,7974 ,2788 ,1292 ,2549 ,470 
21,17,111262,25448 ,2745 ,13484 ,3381 ,5130 ,708 ,27465 ,2684 ,21954 ,1223 ,1349 ,255 
22,17,111261,39347 ,3809 ,27901 ,2568 ,4119 ,950 ,44790 ,1569 ,39958 ,1293 ,1779 ,191 
23,17,111273,50274 ,5661 ,29358 ,3791 ,10423 ,1041 ,29007 ,2837 ,23687 ,216 ,1930 ,337 
24,17,111274,19206 ,6298 ,7291 ,2125 ,2934 ,558 ,25202 ,3370 ,18202 ,938 ,2344 ,348 
25,18,111123,13407 ,2652 ,3387 ,2776 ,4277 ,315 ,12353 ,8580 ,1416 ,1276 ,673 ,408 
26,18,111121,5396 ,1669 ,1047 ,993 ,1394 ,293 ,7023 ,4002 ,1863 ,268 ,481 ,409 
27,18,111131,15642 ,4511 ,5343 ,1605 ,3999 ,184 ,21465 ,9235 ,8666 ,798 ,2317 ,449 
28,18,111142,21845 ,5071 ,12667 ,494 ,3198 ,415 ,11760 ,5321 ,4043 ,1275 ,596 ,525 
29,18,111141,28750 ,8201 ,13968 ,1877 ,4065 ,639 ,11149 ,5431 ,2872 ,1488 ,802 ,556 
30,18,111152,19103 ,7236 ,7724 ,589 ,3025 ,529 ,17152 ,10744 ,2813 ,1508 ,1314 ,773 
31,18,111151,42023 ,10547 ,25925 ,1805 ,3062 ,684 ,11051 ,6546 ,711 ,2145 ,1089 ,560 
32,18,111161,29993 ,8165 ,11290 ,3506 ,6543 ,489 ,18600 ,14051 ,1509 ,1542 ,925 ,573 
33,18,111291,33483 ,7778 ,10654 ,2063 ,12554 ,434 ,13289 ,8919 ,30 ,1604 ,2273 ,463 
34,18,111171,55073 ,4416 ,39270 ,2238 ,8807 ,342 ,13329 ,3683 ,7102 ,1067 ,1216 ,261 
35,18,111311,83164 ,2319 ,73768 ,2004 ,4756 ,317 ,49077 ,3422 ,44316 ,453 ,699 ,187 
36,18,111181,33264 ,6976 ,5407 ,3857 ,16455 ,569 ,16607 ,7482 ,2673 ,1384 ,4583 ,485 
37,18,111191,23818 ,4819 ,9809 ,2260 ,6578 ,352 ,16348 ,7415 ,3950 ,1658 ,2885 ,440 
