ID,주소,파출소명
144,서울특별시 용산구 이태원동 127,이태원파출소
145,서울특별시 용산구 한남동 622-3,한남파출소
146,서울특별시시 마포구 서교동 491,홍익지구대
147,서초구 방배2동 442-4,남태령지구대
148,서초구 방배1동 906-5,방배1파출소
149,서초구 방배동 455-10,서울방배경찰서
150,서초구 염곡동 180-11,내곡파출소
151,서초구 반포동 19-5,반포지구대
152,서초구 서초3동 1726,서울서초경찰서
153,서초구 서초동 1336-1,서초2파출소
154,서초구 방배3동 1001-32,서초3파출소
155,서초구 서초동 1603-16,서초파출소
156,서초구 양재동 1-3,양재파출소
157,서초구 우면동 69,우면파출소
158,성동구 금호동 224,금호파출소
159,성동구 행당동 192-8,서울성동경찰서
160,성동구 성수2가 344-7,서울숲지구대
161,성동구 성수2가 299-37,성수지구대
162,성동구 홍익동 101-2,왕십리파출소
163,성동구 용답동 83-5,용답파출소
164,성동구 응봉동 275,응봉파출소
165,성동구 사근동 11-1,한양지구대
166,성동구 행당동 317-18,행당파출소
167,성북구 삼선동5가 301,서울성북경찰서
168,성북구 성북동 66-1,성북파출소
169,성북구 정릉2동 966-174,정릉2파출소
170,성북구 정릉동 239-3,정릉파출소
171,성북구 종암1동 3-1260,서울종암경찰서
172,성북구 석관동 407-3,석관파출소
173,성북구 월곡1동 90-1152,월곡지구대
174,성북구 장위2동 68-161,장위지구대
175,성북구 종암동 80-9,종암파출소
176,송파구 가락동 37번지,가락지구대
177,송파구 거여동 181-621,거여파출소
178,송파구 마천동 127-8,마천파출소
179,송파구 문정동 92,문정지구대
180,송파구 방이동 204-8,방이지구대
181,송파구 삼전동 62-3,삼전지구대
182,송파구 가락본동 9,서울송파경찰서
183,송파구 신천동 20-5,신천파출소
184,송파구 오금동 41-19,오금파출소
185,송파구 잠실동 19,잠실지구대
186,송파구 풍납2동 403-11,풍납파출소
187,양천구 목5동 907-3,목1지구대
188,양천구 목3동 657-23,목2지구대
189,양천구 신정6동 321,서울양천경찰서
190,양천구 신월1동 132-3,신월1파출소
191,양천구 신월7동 987,신월2지구대
192,양천구 신월5동 59-5,신월5파출소
193,양천구 신정1동 1021-8,신정1지구대
194,양천구 신정4동 997-3,신정2지구대
195,양천구 신정3동 1264,신정3파출소
196,영등포구 당산동5가 15,당산지구대
197,영등포구 대림3동 740-4,대림3파출소
198,영등포구 대림2동 706-8,대림지구대
199,영등포구 문래동3가 54-2,문래지구대
200,영등포구 당산동3가 2-11,서울영등포경찰서
201,영등포구 신길2동 186-280,신길지구대
202,영등포구 신길6동 3741,신풍지구대
203,영등포구 양평동1가 164-22,양평파출소
204,영등포구 여의도동 2번지,여의도지구대
205,영등포구 영등포1동 618-7,영등포역파출소
206,영등포구 영등포3가 18번지,중앙지구대
207,용산구 보광동 221-1,보광파출소
208,용산구 원효로1가 12-12,서울용산경찰서
209,용산구 한강로2가 407-1,용산역파출소
210,용산구 후암동 244-103,용중지구대
211,용산구 원효로1가 25-2,원효지구대
212,용산구 이촌1동 301-86,이촌파출소
213,용산구 용산동5가 24,한강로파출소
214,은평구 녹번동 115-2,녹번파출소
215,은평구 녹번동 177-15,서울서부경찰서
216,은평구 신사동 184-56,신사지구대
217,은평구 응암3동 579-4,응암3파출소
218,은평구 응암동 84-8,응암지구대
219,은평구 대조동5-17,대조파출소
220,은평구 불광동423-16,불광지구대
221,은평구 불광2동 산24,서울은평경찰서
222,은평구 역촌동 62-26,역촌파출소
223,은평구 갈현동436-14,연신내지구대
224,은평구 진관동 산 100-23,진관파출소
225,종로구 관철동 33-1,관수파출소
226,종로구 교북동 35-5,교남파출소
227,종로구 사직동 1-48,사직파출소
228,종로구 소격동 1,삼청파출소
229,종로구 경운동 90-18,서울종로경찰서
230,종로구 홍지동 95-1번지,세검정파출소
231,종로구 신문로1가 58-16,신문로파출소
