,기간,지역구,합계,살인,강도,강간강제추행,절도,폭력,평균지가,결과,랭크용
57,2019,구로구,4707,10,3,226,1916,2552,1732000.0,0.27176674364896075,0.27176674364896075
58,2019,중구,4327,2,6,195,2202,1922,25790000.0,0.016777820860798758,0.016777820860798758
59,2019,중랑구,4268,10,4,138,1666,2450,2302200.0,0.18538788984449658,0.18538788984449658
60,2019,노원구,4153,4,3,184,1498,2464,904860.0,0.4589660278938178,0.4589660278938178
61,2019,강동구,4014,6,15,180,1650,2163,5049600.0,0.07949144486692014,0.07949144486692014
62,2019,광진구,4011,4,6,273,1875,1853,3048400.0,0.13157722083716047,0.13157722083716047
63,2019,은평구,3880,3,1,194,1565,2117,2994800.0,0.1295579003606251,0.1295579003606251
64,2019,종로구,3846,4,7,238,1515,2082,3545400.0,0.10847859197833812,0.10847859197833812
65,2019,강북구,3838,6,3,176,1229,2424,3135340.0,0.12241096659373464,0.12241096659373464
66,2019,동대문구,3692,6,10,168,1531,1977,2605200.0,0.14171656686626746,0.14171656686626746
67,2019,동작구,3400,4,1,251,1328,1816,3516400.0,0.09668979638266409,0.09668979638266409
68,2019,용산구,3313,3,3,272,999,2036,4809600.0,0.06888306719893547,0.06888306719893547
69,2019,양천구,3214,6,2,127,1477,1602,2502600.0,0.12842643650603372,0.12842643650603372
70,2019,금천구,3105,6,10,153,1157,1779,2383360.0,0.1302782626208378,0.1302782626208378
71,2019,서대문구,2943,2,5,175,1226,1535,3577180.0,0.08227150996035984,0.08227150996035984
72,2019,성북구,2877,3,3,176,1082,1613,4271200.0,0.06735811949803334,0.06735811949803334
73,2019,성동구,2512,6,9,133,970,1394,7809400.0,0.03216636361308167,0.03216636361308167
74,2019,도봉구,2110,1,5,90,790,1224,830380.0,0.2541005322864231,0.2541005322864231
