,지역구,기간코드,합계,살인,강도,강간강제추행,절도,폭력,cctv개수,경찰관수,파출소개수,평균지가,남녀성비,여성1인가구합계,총생활인구수,인구밀도,유흥업소개수
0,강남구,18.0,7512.333333333333,7.333333333333333,13.0,624.3333333333334,3034.6666666666665,3833.0,845.3333333333334,1999.0,29.333333333333332,8362000.0,91.83333333333333,36718.0,854191.1099836535,13997.0,638
1,강동구,18.0,4064.6666666666665,4.666666666666667,10.666666666666666,174.0,1603.3333333333333,2272.0,335.3333333333333,1012.0,21.333333333333332,4539266.666666667,98.2,22074.0,491665.90687437565,17794.0,286
2,강북구,18.0,3556.0,7.333333333333333,5.666666666666667,190.66666666666666,1118.3333333333333,2234.0,466.0,893.6666666666666,18.666666666666668,2118366.6666666665,95.66666666666667,22303.666666666668,308292.22600335313,13681.0,140
3,강서구,18.0,4896.0,10.0,4.333333333333333,297.0,1887.3333333333333,2697.3333333333335,407.3333333333333,1242.6666666666667,16.0,2452213.3333333335,94.43333333333334,39692.0,562166.8228686881,14561.333333333334,214
4,관악구,18.0,5293.0,10.0,9.0,379.6666666666667,2071.3333333333335,2823.0,663.3333333333334,1194.0,25.333333333333332,1571440.0,101.10000000000001,53446.0,519260.2596954421,17566.666666666668,401
5,광진구,18.0,4190.666666666667,5.666666666666667,7.0,254.33333333333334,1954.6666666666667,1969.0,617.3333333333334,952.3333333333334,16.0,2596233.3333333335,94.56666666666666,29398.333333333332,411229.9570272616,21690.666666666668,26
6,구로구,18.0,4804.0,8.333333333333334,6.666666666666667,268.0,1786.0,2735.0,487.3333333333333,1007.0,21.333333333333332,3149733.3333333335,98.2,22722.333333333332,429923.4700325796,21858.666666666668,75
7,금천구,18.0,3221.0,5.666666666666667,7.333333333333333,197.66666666666666,1155.3333333333333,1855.0,368.3333333333333,771.0,16.0,2185560.0,103.26666666666665,15729.0,241324.0253393273,19440.0,101
8,노원구,18.0,4123.0,4.333333333333333,5.666666666666667,186.0,1486.0,2441.0,237.0,1087.3333333333333,23.333333333333332,1233500.0,94.23333333333333,29646.666666666668,530086.0953160521,15459.333333333334,44
9,도봉구,18.0,2119.3333333333335,1.0,4.333333333333333,102.33333333333333,734.6666666666666,1277.0,184.66666666666666,754.3333333333334,12.0,1431373.3333333333,95.93333333333334,17298.333333333332,292612.68577314087,16509.333333333332,31
10,동대문구,18.0,3782.3333333333335,6.333333333333333,6.0,159.33333333333334,1508.3333333333333,2102.3333333333335,180.66666666666666,1097.3333333333333,26.666666666666668,2961200.0,99.46666666666665,27621.0,398995.3579286304,25638.333333333332,217
11,동작구,18.0,3276.6666666666665,2.6666666666666665,5.0,311.6666666666667,1235.0,1722.3333333333333,297.6666666666667,898.6666666666666,22.666666666666668,3751866.6666666665,94.59999999999998,29576.0,426041.6816796272,25004.333333333332,101
12,마포구,18.0,5097.333333333333,3.6666666666666665,5.333333333333333,489.3333333333333,2098.3333333333335,2500.6666666666665,398.6666666666667,1169.3333333333333,21.333333333333332,4147933.3333333335,90.53333333333332,31849.333333333332,512757.3376280824,16184.333333333334,141
13,서대문구,18.0,2952.6666666666665,3.6666666666666665,3.0,194.33333333333334,1172.6666666666667,1579.0,312.0,906.0,14.666666666666666,5484526.666666667,93.0,25352.333333333332,415056.96550856414,18368.666666666668,101
14,서초구,18.0,4992.0,6.333333333333333,8.333333333333334,518.6666666666666,1977.6666666666667,2481.0,615.3333333333334,1467.6666666666667,25.333333333333332,5125126.666666667,91.83333333333333,23049.666666666668,623070.4015571374,9355.666666666666,291
15,성동구,18.0,2578.6666666666665,3.0,5.666666666666667,130.33333333333334,1013.6666666666666,1426.0,508.6666666666667,862.0,20.0,4918400.0,96.60000000000001,20154.333333333332,366028.174662306,18549.666666666668,33
16,성북구,18.0,3117.6666666666665,5.666666666666667,4.0,177.33333333333334,1196.6666666666667,1734.0,680.3333333333334,1292.6666666666667,32.0,2806593.3333333335,94.60000000000001,30581.0,453646.89376852365,18418.666666666668,24
17,송파구,18.0,5693.666666666667,6.0,5.666666666666667,290.0,2347.3333333333335,3044.6666666666665,617.0,1398.0,26.666666666666668,4911066.666666667,94.26666666666667,34827.666666666664,778700.9705715794,19950.666666666668,199
18,양천구,18.0,3537.0,3.6666666666666665,3.0,128.33333333333334,1483.6666666666667,1918.3333333333333,184.33333333333334,1034.6666666666667,20.666666666666668,2575646.6666666665,97.06666666666666,18666.666666666668,402087.31057789404,26914.0,12
19,영등포구,18.0,5876.333333333333,14.0,5.333333333333333,400.6666666666667,2335.0,3121.3333333333335,344.6666666666667,1310.3333333333333,20.0,2202013.3333333335,99.16666666666667,26834.0,523196.2766270472,16384.0,408
20,용산구,18.0,3594.6666666666665,1.6666666666666667,3.6666666666666665,310.0,1147.0,2132.3333333333335,261.0,945.3333333333334,16.0,3864653.3333333335,93.5,18430.0,327068.8070252708,11200.333333333334,88
21,은평구,18.0,3784.3333333333335,5.666666666666667,2.0,204.0,1410.0,2162.6666666666665,698.3333333333334,1237.3333333333333,26.666666666666668,2714113.3333333335,93.76666666666667,27535.666666666668,450284.1028217241,16419.0,134
22,종로구,18.0,3864.3333333333335,5.666666666666667,6.666666666666667,242.33333333333334,1547.3333333333333,2062.3333333333335,118.33333333333333,1533.3333333333333,30.666666666666668,2530773.3333333335,95.7,12488.0,348379.3616879068,6818.333333333333,434
23,중구,18.0,4180.333333333333,1.6666666666666667,8.666666666666666,223.0,1967.6666666666667,1979.3333333333333,304.3333333333333,1383.0,24.0,17859333.333333332,97.16666666666667,10830.0,370891.3671458722,13612.0,651
24,중랑구,18.0,4375.666666666667,6.333333333333333,3.3333333333333335,161.33333333333334,1575.0,2629.6666666666665,461.3333333333333,1014.3333333333334,22.666666666666668,1308680.0,98.83333333333333,24749.0,366235.5991292548,22040.333333333332,46
